Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,785.8799999999999,2,0.0,41.9136
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,2195.82,3,0.0,219.582
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,43.86,2,0.0,6.8714
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,2872.7325,5,0.45,-383.031
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,67.104,2,0.2,2.5164
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,146.57999999999998,7,0.0,14.1694
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,21.84,4,0.0,1.9656
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,2721.456,6,0.2,90.7152
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,55.512,3,0.2,5.7825
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,344.70000000000005,5,0.0,34.47
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,5118.552,9,0.2,85.3092
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,2734.272,4,0.2,68.3568
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,46.656,3,0.2,5.4432
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,1223.9279999999999,3,0.2,132.5922
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,206.43,5,0.8,-123.858
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,7.632,3,0.8,-3.816
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,1997.6399999999999,6,0.0,13.3176
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,166.5,2,0.0,9.99
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,25.68,2,0.0,2.4824
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,640.4399999999999,3,0.2,16.011
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,68.16,4,0.2,7.384
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,58.38,7,0.0,5.0596
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,181.02,7,0.0,15.6884
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,214.11599999999999,2,0.3,-1.0196
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,3133.8900000000003,3,0.0,240.2649
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,34.944,2,0.2,4.2224
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,271.71,3,0.0,11.7741
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,9250.289999999999,7,0.5,-1665.0522
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,28.854,2,0.7,-7.0532
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,372.6,3,0.2,15.525
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,9.792,2,0.2,1.1016
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,258.91200000000003,6,0.2,9.7092
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,20.573999999999998,6,0.7,-5.715
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,47.28,2,0.2,3.546
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,88.416,3,0.2,9.9468
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,3292.6320000000005,7,0.2,123.4737
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,572.76,5,0.6,-147.963
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,339.98400000000004,9,0.2,35.415
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,1597.1976,3,0.32,-46.9764
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,636.174,3,0.3,-15.147
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,1113.504,4,0.2,41.7564
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,441.504,4,0.2,16.5564
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,233.64,2,0.0,3.894
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,286.848,2,0.2,9.5616
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,137.94,2,0.0,19.7714
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,52.38,2,0.0,8.2062
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,635.88,4,0.0,8.4784
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,135.0,3,0.0,4.95
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,65.4,2,0.0,6.104
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,114.66,6,0.0,17.9634
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,225.54000000000002,6,0.0,35.3346
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,18.48,2,0.0,2.9568
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,269.96999999999997,1,0.0,17.0981
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,45.78,7,0.0,6.2566
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,3089.8500000000004,5,0.0,298.6855
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,625.6800000000001,6,0.0,52.14
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,97.19999999999999,5,0.0,15.552
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,958.23,5,0.1,7.098
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,43.68,2,0.0,6.9888
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,90.0,2,0.0,3.3
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,145.44,4,0.2,16.362
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,5.04,1,0.0,0.84
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,41.94,2,0.0,6.1512
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,77.47200000000001,6,0.2,9.3612
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,440.18999999999994,3,0.0,68.9631
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,239.28000000000003,4,0.0,22.3328
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,639.345,5,0.3,-15.2225
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,3339.0719999999997,8,0.2,111.3024
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,503.904,4,0.2,62.988
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,227.64,2,0.0,35.6636
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,13.847999999999999,1,0.2,1.731
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,57.150000000000006,3,0.0,8.763
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,2495.808,8,0.2,-114.3912
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,291.12,2,0.2,1.213
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,218.35200000000003,1,0.2,-18.196
